Location,Market Size,Product Type,Sales
West,Small Market,Tea,17
West,Small Market,Tea,18
West,Small Market,Tea,18
West,Small Market,Tea,19
West,Small Market,Tea,19
West,Small Market,Tea,20
West,Small Market,Tea,21
West,Small Market,Tea,21
West,Small Market,Tea,21
West,Small Market,Tea,22
Central,Small Market,Coffee,23
Central,Small Market,Coffee,23
West,Small Market,Tea,23
Central,Small Market,Coffee,24
Central,Small Market,Coffee,25
Central,Small Market,Coffee,25
West,Small Market,Tea,25
West,Small Market,Tea,26
Central,Small Market,Coffee,26
West,Small Market,Tea,27
West,Small Market,Tea,27
West,Small Market,Tea,28
West,Small Market,Tea,31
Central,Small Market,Coffee,32
Central,Small Market,Coffee,32
West,Small Market,Tea,32
West,Small Market,Tea,32
West,Small Market,Tea,33
West,Small Market,Tea,34
West,Small Market,Tea,34
Central,Small Market,Coffee,35
Central,Small Market,Coffee,37
West,Small Market,Tea,37
West,Small Market,Tea,37
South,Small Market,Herbal Tea,39
Central,Small Market,Coffee,39
East,Small Market,Tea,39
West,Small Market,Espresso,39
West,Small Market,Tea,41
South,Small Market,Herbal Tea,41
East,Major Market,Tea,41
Central,Major Market,Herbal Tea,41
West,Small Market,Tea,41
Central,Major Market,Herbal Tea,41
South,Small Market,Espresso,41
East,Small Market,Tea,41
Central,Small Market,Coffee,41
Central,Small Market,Espresso,41
West,Small Market,Espresso,41
West,Small Market,Espresso,41
East,Major Market,Tea,41
South,Small Market,Espresso,41
South,Small Market,Herbal Tea,42
East,Small Market,Tea,42
Central,Small Market,Coffee,42
West,Small Market,Espresso,42
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
East,Small Market,Tea,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
